,0,0,0,0,0
fecha,lluvia,luz,viento,temperatura,humedad
2025-12-04 16:08:19,4095,54612.5,0,29.3,31
2025-12-04 16:08:27,4095,54612.5,0,29.8,31
2025-12-04 16:08:37,4095,54612.5,0,29.8,31
2025-12-04 16:08:45,4095,54612.5,0,29.8,31
2025-12-04 16:08:54,4095,54612.5,0,29.8,31
2025-12-04 16:09:03,4095,54612.5,0,30.2,30
2025-12-04 16:09:12,4095,54612.5,0,30.2,30
2025-12-04 16:09:21,4095,54612.5,0,30.8,30
2025-12-04 16:09:30,4095,54612.5,0,30.8,29
2025-12-04 16:09:38,4095,54612.5,0,30.8,29
2025-12-04 16:09:46,4095,54612.5,0,30.8,29
2025-12-04 16:09:54,4095,54612.5,0,30.8,28
2025-12-04 16:10:03,4095,54612.5,0,31.3,28
2025-12-04 16:10:18,4095,54612.5,0,31.3,28
2025-12-04 16:10:26,4095,54612.5,0,31.8,28
2025-12-04 16:10:35,4095,54612.5,0,31.8,27
2025-12-04 16:10:43,4095,54612.5,0,31.8,27
2025-12-04 16:10:50,4095,54612.5,0,32.3,27
2025-12-04 16:11:00,4095,54612.5,0,32.3,27
2025-12-04 16:11:17,4095,54612.5,0,32.3,27
2025-12-04 16:11:25,4095,54612.5,0,32.3,26
2025-12-04 16:11:33,4095,54612.5,0,32.3,26
2025-12-04 16:11:42,4095,54612.5,0,32.3,26
2025-12-04 16:11:50,4095,54612.5,0,32.3,26
2025-12-04 16:11:59,4095,54612.5,0,0,0
2025-12-04 16:12:07,4095,54612.5,0,31.8,26
2025-12-04 16:12:16,4095,54612.5,0,31.8,26
2025-12-04 16:12:26,4095,54612.5,0,31.3,26
2025-12-04 16:12:34,4095,54612.5,0,31.3,26
2025-12-04 16:12:56,4095,0,0,31.8,26
2025-12-04 16:13:04,4095,54612.5,0,31.8,26
2025-12-04 16:13:12,4095,54612.5,0,31.8,25
2025-12-04 16:13:20,4095,54612.5,0,31.8,25
2025-12-04 16:13:29,4095,54612.5,0,31.8,25
2025-12-04 16:13:37,4095,54612.5,0,31.8,25
2025-12-04 16:13:45,4095,54612.5,0,31.8,25
2025-12-04 16:13:54,4095,54612.5,0,32.3,25
2025-12-04 16:14:02,4095,54612.5,0,32.3,25
2025-12-04 16:14:10,4095,54612.5,0,32.3,25
2025-12-04 16:14:18,4095,54612.5,3.96,32.3,25
2025-12-04 16:14:26,4095,54612.5,0,32.3,25
2025-12-04 16:14:34,4095,54612.5,0,32.3,25
2025-12-04 16:14:42,4095,54612.5,0,31.8,24
2025-12-04 16:14:50,4095,54612.5,0,31.8,24
2025-12-04 16:14:58,4095,54612.5,0,31.8,24
2025-12-04 16:15:06,4095,54612.5,0,31.8,24
2025-12-04 16:15:14,4095,54612.5,0,31.8,24
2025-12-04 16:15:22,4095,54612.5,0,31.8,24
2025-12-04 16:15:30,4095,54612.5,0,31.8,24
2025-12-04 16:15:39,4095,54612.5,0,31.8,24
2025-12-04 16:15:47,4095,54612.5,0,31.3,24
2025-12-04 16:15:55,4095,54612.5,0,31.3,24
2025-12-04 16:16:03,4095,54612.5,0,31.6,24
2025-12-04 16:16:11,4095,54612.5,0,31.7,24
2025-12-04 16:16:19,4095,54612.5,0,31.8,24
2025-12-04 16:16:27,4095,54612.5,0,31.7,24
2025-12-04 16:16:35,4095,54612.5,0,31.3,24
2025-12-04 16:16:44,4095,54612.5,0,31.3,24
2025-12-04 16:16:53,4095,54612.5,0,30.8,24
2025-12-04 16:17:01,4095,54612.5,0,30.8,24
2025-12-04 16:17:09,4095,54612.5,0,30.2,24
2025-12-04 16:17:17,4095,54612.5,0,30.2,24
